The	DT	O
recommended	VBN	O
dose	NN	O
of	IN	O
ALECENSA	NNP	O
is	VBZ	O
600	CD	DOS
mg	NN	UNIT
orally	RB	O
twice	JJ	FREQ
daily	RB	FREQ
with	IN	O
food	NN	O
[	NNS	O
see	VBP	O
CLINICAL	NNP	O
PHARMACOLOGY	NNP	O
]	NNP	O
.	.	O

(	(	O
9	CD	O
)	)	O
Patient	NNP	O
alarm	NN	O
device	NN	O
:	:	O
An	DT	O
alarm	NN	O
device	NN	O
within	IN	O
the	DT	O
UVA	NNP	O
irradiator	NN	O
chamber	NN	O
should	MD	O
be	VB	O
accessible	JJ	O
to	TO	O
the	DT	O
patient	NN	O
for	IN	O
emergency	NN	O
activation	NN	O
.	.	O

100	CD	DOS
mg	NN	UNIT
,	,	O
by	IN	O
mouth	NN	O
,	,	O
twice	RB	FREQ
a	DT	FREQ
day	NN	FREQ
for	IN	O
at	IN	PER
least	JJ	PER
10	CD	PER
days	NNS	PER
.	.	O

Limit	NNP	O
the	DT	O
use	NN	O
of	IN	O
ABSTRAL	NNP	O
to	TO	O
treat	VB	O
four	CD	DOS
or	CC	O
fewer	JJR	O
episodes	NNS	O
of	IN	O
breakthrough	NN	O
pain	NN	O
per	IN	FREQ
day	NN	FREQ
.	.	O

Each	DT	O
500	CD	DOS
mL	NN	UNIT
of	IN	O
Aminosyn	NNP	O
-	:	O
RF	VBD	O
5.2	CD	O
%	NN	O
mixed	JJ	O
under	IN	O
sterile	JJ	O
conditions	NNS	O
with	IN	O
832	CD	DOS
mL	NNS	UNIT
of	IN	O
Dextrose	NNP	O
70	CD	O
%	NN	O
will	MD	O
provide	VB	O
a	DT	O
solution	NN	O
of	IN	O
1.95	CD	O
%	NN	O
of	IN	O
Aminosyn	NNP	O
-	:	O
RF	VBD	O
5.2	CD	O
%	NN	O
in	IN	O
44	CD	O
%	NN	O
dextrose	NN	O
.	.	O

Clinical	JJ	O
trial	NN	O
and	CC	O
postmarketing	VBG	O
experience	NN	O
suggest	VBP	O
that	IN	O
debilitated	JJ	WHO
patients	NNS	WHO
or	CC	WHO
patients	NNS	WHO
taking	VBG	WHO
additional	JJ	WHO
medications	NNS	WHO
that	WDT	WHO
decrease	VBP	WHO
gastrointestinal	JJ	WHO
motility	NN	WHO
may	MD	O
be	VB	O
at	IN	O
