Figure	NN	O
4	CD	O

Adjustments	NNS	O
in	IN	O
dose	NN	O
should	MD	O
not	RB	O
be	VB	O
made	VBN	O
more	RBR	O
frequently	RB	O
than	IN	O
once	RB	FREQ
every	DT	FREQ
2	CD	FREQ
days	NNS	FREQ
and	CC	O
should	MD	O
not	RB	O
exceed	VB	O
more	JJR	O
than	IN	O
75	CD	DOS
to	TO	O
150	CD	DOS
IU	NNP	UNIT
per	IN	O
adjustment	NN	O
.	.	O

If	IN	O
SYMMETREL	NNP	O
(	(	O
amantadine	JJ	O
hydrochloride	NN	O
)	)	O
is	VBZ	O
used	VBN	O
chemoprophylactically	RB	O
in	IN	O
conjunction	NN	O
with	IN	O
inactivated	JJ	O
influenza	NN	O
A	NNP	O
virus	NN	O
vaccine	NN	O
until	IN	O
protective	JJ	O
antibody	NN	O
responses	NNS	O
develop	VBP	O
,	,	O
then	RB	O
it	PRP	O
should	MD	O
be	VB	O
administered	VBN	O
for	IN	O
2	CD	PER
to	TO	O
4	CD	PER
weeks	NNS	PER
after	IN	O
the	DT	O
vaccine	NN	O
has	VBZ	O
been	VBN	O
given	VBN	O
.	.	O

Step	NN	O
5	CD	O
:	:	O
Transferring	VBG	O
the	DT	O
liquid	NN	O
to	TO	O
the	DT	O
syringe	NN	O

Figure	NN	O
1	CD	O

Base	NNP	O
changes	NNS	O
in	IN	O
the	DT	O
chronic	JJ	O
infusion	NN	O
rate	NN	O
on	IN	O
persistence	NN	O
,	,	O
recurrence	NN	O
,	,	O
or	CC	O
worsening	NN	O
of	IN	O
the	DT	O
patient	NN	O
's	POS	O
symptoms	NNS	O
of	IN	O
pulmonary	JJ	O
hypertension	NN	O
and	CC	O
the	DT	O
occurrence	NN	O
of	IN	O
adverse	JJ	O
vasodilatory	NN	O
reactions	NNS	O
.	.	O

An	DT	O
INR	NNP	O
of	IN	O
greater	JJR	O
than	IN	O
4.0	CD	O
appears	VBZ	O
to	TO	O
provide	VB	O
no	DT	O
additional	JJ	O
therapeutic	JJ	O
benefit	NN	O
in	IN	O
most	JJS	WHO
patients	NNS	WHO
and	CC	O
is	VBZ	O
associated	VBN	O
with	IN	O
a	DT	O
higher	JJR	O
risk	NN	O
of	IN	O
bleeding	NN	O
.	.	O

Parenteral	JJ	O
drug	NN	O
products	NNS	O
should	MD	O
be	VB	O
inspected	VBN	O
visually	RB	O
for	IN	O
particulate	JJ	O
matter	NN	O
and	CC	O
discoloration	NN	O
prior	RB	O
to	TO	O
administration	NN	O
,	,	O
whenever	WRB	O
solution	NN	O
and	CC	O
container	NN	O
permit	NN	O
.	.	O

Osserman	NNP	O
and	CC	O
Takatsuki	NNP	O
have	VBP	O
used	VBN	O
an	DT	O
initial	JJ	O
course	NN	O
of	IN	O
10	CD	DOS
mg	NNS	UNIT
/	JJ	FREQ
day	NN	FREQ
for	IN	O
7	CD	PER
to	TO	O
10	CD	PER
days	NNS	PER
.	.	O

Exocrine	NNP	O
pancreas	NNS	O
dysfunction	NN	O
typically	RB	O
associated	VBN	O
with	IN	O
chronic	JJ	O
pancreatitis	NN	O
is	VBZ	O
indicated	VBN	O
if	IN	O
the	DT	O
peak	NN	O
bicarbonate	NN	O
concentration	NN	O
for	IN	O
any	DT	O
sample	JJ	O
≤	NN	O
80	CD	O
mEq	NN	O
/	NNP	O
L	NNP	O
.	.	O

Immediately	RB	O
following	VBG	O
the	DT	O
intravitreal	JJ	O
injection	NN	O
,	,	O
patients	NNS	O
should	MD	O
be	VB	O
monitored	VBN	O
for	IN	O
elevation	NN	O
in	IN	O
intraocular	JJ	O
pressure	NN	O
.	.	O

8	CD	O

Concomitant	JJ	O
therapy	NN	O
should	MD	O
be	VB	O
based	VBN	O
on	IN	O
a	DT	O
patient	NN	O
's	POS	O
prior	JJ	O
drug	NN	O
exposure	NN	O
.	.	O

After	IN	O
both	DT	O
ventricular	JJ	O
and	CC	O
coronary	JJ	O
injection	NN	O
,	,	O
decreases	VBZ	O
in	IN	O
systolic	JJ	O
pressure	NN	O
were	VBD	O
less	JJR	O
pronounced	JJ	O
and	CC	O
returned	VBN	O
to	TO	O
baseline	VB	O
values	NNS	O
earlier	RBR	O
with	IN	O
OMNIPAQUE	NNP	O
350	CD	O
than	IN	O
with	IN	O
diatrizoate	JJ	O
meglumine	NN	O
and	CC	O
diatrizoate	VB	O
sodium	NN	O
injection	NN	O
.	.	O

A	DT	O
.	.	O

The	DT	O
combination	NN	O
of	IN	O
promethazine	JJ	O
hydrochloride	NN	O
and	CC	O
codeine	NN	O
phosphate	NN	O
is	VBZ	O
contraindicated	VBN	O
in	IN	O
pediatric	JJ	WHO
patients	NNS	WHO
less	RBR	WHO
than	IN	WHO
6	CD	WHO
years	NNS	WHO
of	IN	WHO
age	NN	WHO
,	,	O
because	IN	O
the	DT	O
combination	NN	O
may	MD	O
cause	VB	O
fatal	JJ	O
respiratory	NN	O
depression	NN	O
in	IN	O
this	DT	O
age	NN	O
population	NN	O
.	.	O

Initially	RB	O
,	,	O
Azmacort	NNP	O
(	(	O
triamcinolone	JJ	O
acetonide	NN	O
)	)	O
Inhalation	NNP	O
Aerosol	NNP	O
should	MD	O
be	VB	O
used	VBN	O
concurrently	RB	O
with	IN	O
the	DT	O
patient	NN	O
's	POS	O
usual	JJ	O
maintenance	NN	O
dose	NN	O
of	IN	O
systemic	JJ	O
corticosteroid	NN	O
.	.	O

The	DT	O
following	JJ	O
schedule	NN	O
is	VBZ	O
suggested	VBN	O
as	IN	O
a	DT	O
guide	NN	O
to	TO	O
dosage	VB	O
adjustment	NN	O
:	:	O

Table	JJ	O
1	CD	O
:	:	O
(	(	O
adapted	VBN	O
from	IN	O
20	CD	O
)	)	O
Recommendations	NNPS	O
for	IN	O
Hepatitis	NNP	O
B	NNP	O
Prophylaxis	NNP	O
Following	NNP	O
Percutaneous	NNP	O
or	CC	O
Permucosal	NNP	O
Exposure	NNP	O

For	IN	O
patients	NNS	WHO
who	WP	WHO
experience	VBP	WHO
intolerance	NN	WHO
,	,	O
ARTHROTEC	NNP	O
75	CD	O
two	CD	FREQ
times	NNS	FREQ
a	DT	FREQ
day	NN	FREQ
or	CC	O
ARTHROTEC	$	O
50	CD	O
two	CD	FREQ
times	NNS	FREQ
a	DT	FREQ
day	NN	FREQ
can	MD	O
be	VB	O
used	VBN	O
,	,	O
but	CC	O
are	VBP	O
less	RBR	O
effective	JJ	O
in	IN	O
preventing	VBG	O
ulcers	NNS	O
.	.	O

GLUCOTROL	NNP	O
XL	NNP	O
should	MD	O
be	VB	O
administered	VBN	O
orally	RB	O
with	IN	O
breakfast	NN	O
or	CC	O
the	DT	O
first	JJ	O
main	JJ	O
meal	NN	O
of	IN	O
the	DT	O
day	NN	O
.	.	O

Remove	VB	O
the	DT	O
tab	JJ	O
portion	NN	O
of	IN	O
the	DT	O
vial	JJ	O
cap	NN	O
and	CC	O
clean	VB	O
the	DT	O
rubber	NN	O
stopper	NN	O
with	IN	O
70	CD	O
%	NN	O
alcohol	NN	O
or	CC	O
equivalent	NN	O
.	.	O

BUNAVAIL	NNP	O
buccal	JJ	O
film	NN	O
should	MD	O
be	VB	O
used	VBN	O
in	IN	O
patients	NNS	WHO
who	WP	WHO
have	VBP	WHO
been	VBN	WHO
initially	RB	WHO
inducted	VBN	WHO
using	VBG	WHO
buprenorphine	JJ	WHO
sublingual	JJ	WHO
tablets	NNS	WHO
.	.	O

When	WRB	O
SORIATANE	NNP	O
is	VBZ	O
used	VBN	O
with	IN	O
phototherapy	NN	O
,	,	O
the	DT	O
prescriber	NN	O
should	MD	O
decrease	VB	O
the	DT	O
phototherapy	NN	O
dose	NN	O
,	,	O
dependent	NN	O
on	IN	O
the	DT	O
patient	NN	O
's	POS	O
individual	JJ	O
response	NN	O
(	(	O
see	JJ	O
PRECAUTIONS	NNP	O
:	:	O
General	NNP	O
)	)	O
.	.	O

The	DT	O
dose	NN	O
of	IN	O
Alfentanil	NNP	O
HCl	NNP	O
injection	NN	O
should	MD	O
be	VB	O
reduced	VBN	O
in	IN	O
elderly	JJ	WHO
or	CC	WHO
debilitated	JJ	WHO
patients	NNS	WHO
(	(	O
see	VB	O
PRECAUTIONS	NNP	O
)	)	O
.	.	O

Dissolve	VB	O
the	DT	O
contents	NNS	O
of	IN	O
one	CD	DOS
to	TO	O
6	CD	DOS
vials	NNS	UNIT
of	IN	O
Repronex®	NNP	O
(	(	O
menotropins	NNS	O
for	IN	O
injection	NN	O
)	)	O
in	IN	O
one	CD	DOS
to	TO	O
two	CD	DOS
mL	NN	UNIT
of	IN	O
sterile	JJ	O
saline	NN	O
and	CC	O
ADMINISTER	NNP	O
SUBCUTANEOUSLY	NNP	O
OR	NNP	O
INTRAMUSCULARLY	NNP	O
immediately	RB	O
.	.	O

Toviaz	NNP	O
should	MD	O
be	VB	O
taken	VBN	O
with	IN	O
liquid	NN	O
and	CC	O
swallowed	VBD	O
whole	JJ	O
.	.	O

NEVER	RB	O
ADMINISTER	NNP	O
TO	NNP	O
THE	NNP	O
NEONATE	NNP	O
.	.	O

Different	JJ	O
formulations	NNS	O
of	IN	O
diclofenac	NN	O
[	NNP	O
VOLTAREN®	NNP	O
(	(	O
diclofenac	JJ	O
sodium	NN	O
enteric	JJ	O
-	:	O
coated	VBN	O
tablets	NNS	O
)	)	O
;	:	O
VOLTAREN®	NNP	O
-	:	O
XR	NN	O
(	(	O
diclofenac	JJ	O
sodium	NN	O
extended	VBD	O
-	:	O
release	NN	O
tablets	NNS	O
)	)	O
;	:	O
CATAFLAM®	NNP	O
(	(	O
diclofenac	JJ	O
potassium	NN	O
immediate	JJ	O
-	:	O
release	NN	O
tablets	NNS	O
)	)	O
]	NNS	O
are	VBP	O
not	RB	O
necessarily	RB	O
bioequivalent	VB	O
even	RB	O
if	IN	O
the	DT	O
milligram	NN	O
strength	NN	O
is	VBZ	O
the	DT	O
same	JJ	O
.	.	O

Symptomatic	JJ	O
relief	NN	O
usually	RB	O
occurs	VBZ	O
within	IN	O
a	DT	O
few	JJ	O
days	NNS	O
after	IN	O
starting	VBG	O
EXELDERM	NNP	O
(	(	O
sulconazole	JJ	O
nitrate	NN	O
)	)	O
SOLUTION	NNP	O
,	,	O
1.0	CD	O
%	NN	O
,	,	O
and	CC	O
clinical	JJ	O
improvement	NN	O
usually	RB	O
occurs	VBZ	O
within	IN	O
one	CD	PER
week	NN	PER
.	.	O

Monitor	NN	O
patients	NNS	O
closely	RB	O
for	IN	O
signs	NNS	O
of	IN	O
respiratory	NN	O
or	CC	O
central	JJ	O
nervous	JJ	O
system	NN	O
depression	NN	O
[	NNP	O
see	VBP	O
WARNINGS	NNP	O
AND	NNP	O
PRECAUTIONS	NNP	O
,	,	O
Use	NNP	O
In	IN	O
Specific	NNP	O
Populations	NNP	O
and	CC	O
CLINICAL	NNP	O
PHARMACOLOGY	NNP	O
]	NNP	O
.	.	O

Figure	NN	O
1	CD	O

For	IN	O
adults	NNS	WHO
,	,	O
the	DT	O
admixture	NN	O
should	MD	O
not	RB	O
contain	VB	O
more	JJR	O
than	IN	O
330	CD	DOS
mL	NN	UNIT
of	IN	O
Liposyn	NNP	O
III	NNP	O
30	CD	O
%	NN	O
on	IN	O
the	DT	O
first	JJ	O
day	NN	O
of	IN	O
