The	DT	O
recommended	VBN	O
dose	NN	O
of	IN	O
ALECENSA	NNP	O
is	VBZ	O
600	CD	B-DOS
mg	NN	B-UNIT
orally	RB	O
twice	JJ	B-FREQ
daily	RB	O-FREQ
with	IN	O
food	NN	O
[	NNS	O
see	VBP	O
CLINICAL	NNP	O
PHARMACOLOGY	NNP	O
]	NNP	O
.	.	O

(	(	O
9	CD	O
)	)	O
Patient	NNP	O
alarm	NN	O
device	NN	O
:	:	O
An	DT	O
alarm	NN	O
device	NN	O
within	IN	O
the	DT	O
UVA	NNP	O
irradiator	NN	O
chamber	NN	O
should	MD	O
be	VB	O
accessible	JJ	O
to	TO	O
the	DT	O
patient	NN	O
for	IN	O
emergency	NN	O
activation	NN	O
.	.	O

100	CD	B-DOS
mg	NN	B-UNIT
,	,	O
by	IN	O
mouth	NN	O
,	,	O
twice	RB	B-FREQ
a	DT	I-FREQ
day	NN	O-FREQ
for	IN	O
at	IN	B-DUR
least	JJ	I-DUR
10	CD	I-DUR
days	NNS	O-DUR
.	.	O

Limit	NNP	O
the	DT	O
use	NN	O
of	IN	O
ABSTRAL	NNP	O
to	TO	O
treat	VB	O
four	CD	O
or	CC	O
fewer	JJR	O
episodes	NNS	O
of	IN	O
breakthrough	NN	O
pain	NN	O
per	IN	B-FREQ
day	NN	O-FREQ
.	.	O

Each	DT	O
500	CD	B-DOS
mL	NN	B-UNIT
of	IN	O
Aminosyn	NNP	O
-	:	O
RF	VBD	O
5.2	CD	O
%	NN	O
mixed	JJ	O
under	IN	O
sterile	JJ	O
conditions	NNS	O
with	IN	O
832	CD	B-DOS
mL	NNS	B-UNIT
of	IN	O
Dextrose	NNP	O
70	CD	O
%	NN	O
will	MD	O
provide	VB	O
a	DT	O
solution	NN	O
of	IN	O
1.95	CD	O
%	NN	O
of	IN	O
Aminosyn	NNP	O
-	:	O
RF	VBD	O
5.2	CD	O
%	NN	O
in	IN	O
44	CD	O
%	NN	O
dextrose	NN	O
.	.	O

Clinical	JJ	O
trial	NN	O
and	CC	O
postmarketing	VBG	O
experience	NN	O
suggest	VBP	O
that	IN	O
debilitated	JJ	B-WHO
patients	NNS	I-WHO
or	CC	I-WHO
patients	NNS	I-WHO
taking	VBG	I-WHO
additional	JJ	I-WHO
medications	NNS	I-WHO
that	WDT	I-WHO
