Usual	JJ	O
adult	NN	B-WHO
dose	VBD	O
4	CD	B-DOS
-	:	O
8	CD	B-DOS
mg	JJ	B-UNIT
daily	RB	B-FREQ
.	.	O

One	CD	B-DOS
or	CC	O
two	CD	B-DOS
capsules	NNS	B-UNIT
every	DT	B-FREQ
four	CD	I-FREQ
hours	NNS	O-FREQ
.	.	O

The	DT	O
dosage	NN	O
regimen	NNS	O
for	IN	O
TriNessa®	NNP	O
for	IN	O
treatment	NN	O
of	IN	O
facial	JJ	O
acne	NN	O
,	,	O
as	IN	O
available	JJ	O
in	IN	O
a	DT	O
blister	NN	O
card	NN	O
with	IN	O
a	DT	O
tablet	NN	O
dispenser	NN	O
,	,	O
utilizes	VBZ	O
a	DT	O
21	CD	O
-	:	O
day	NN	O
active	JJ	O
and	CC	O
a	DT	O
7	CD	O
-	:	O
day	NN	O
placebo	NN	O
schedule	NN	O
.	.	O

The	DT	O
recommended	JJ	O
dosage	NN	O
is	VBZ	O
300	CD	B-DOS
mg	NN	B-UNIT
by	IN	O
subcutaneous	JJ	O
injection	NN	O
at	IN	O
Weeks	NNP	O
0	CD	O
,	,	O
1	CD	O
,	,	O
2	CD	O
,	,	O
3	CD	O
,	,	O
and	CC	O
4	CD	O
followed	VBN	O
by	IN	O
300	CD	B-DOS
mg	NNS	B-UNIT
every	DT	B-FREQ
4	CD	I-FREQ
weeks	NNS	O-FREQ
.	.	O

The	DT	O
recommended	JJ	O
dosage	NN	O
for	IN	O
the	DT	O
treatment	NN	O
of	IN	O
clinically	RB	O
important	JJ	O
hypotension	NN	O
in	IN	O
the	DT	O
setting	NN	O
of	IN	O
anesthesia	NN	O
is	VBZ	O
an	DT	O
initial	JJ	O
dose	NN	O
of	IN	O
5	CD	B-DOS
to	TO	O
10	CD	B-DOS
mg	NNS	B-UNIT
administered	VBN	O
by	IN	O
intravenous	JJ	O
bolus	NN	O
.	.	O

The	DT	O
recommended	VBN	O
dose	NN	O
is	VBZ	O
one	CD	B-DOS
CLEOCIN	NNP	B-UNIT
Vaginal	NNP	I-UNIT
Ovule	NNP	O-UNIT
(	(	O
containing	VBG	O
clindamycin	NN	O
phosphate	NN	O
equivalent	NN	O
to	TO	O
100	CD	B-DOS
mg	NNS	B-UNIT
clindamycin	VBP	O
per	IN	O
2.5	CD	B-DOS
g	JJ	B-UNIT
suppository	NN	O
)	)	O
intravaginally	RB	O
per	IN	B-FREQ
day	NN	O-FREQ
,	,	O
preferably	RB	O
at	IN	O
bedtime	NN	O
,	,	O
for	IN	O
3	CD	B-DUR
consecutive	JJ	I-DUR
days	NNS	O-DUR
.	.	O

Based	VBN	O
on	IN	O
clinical	JJ	O
studies	NNS	O
,	,	O
the	DT	O
average	JJ	O
prescribed	JJ	O
adult	JJ	B-WHO
daily	JJ	B-FREQ
dose	NN	O
of	IN	O
sevelamer	JJ	O
carbonate	NN	O
is	VBZ	O
approximately	RB	O
7.2	CD	B-DOS
g	NNS	B-UNIT
per	IN	B-FREQ
day	NN	O-FREQ
.	.	O

The	DT	O
initial	JJ	O
dosage	NN	O
of	IN	O
prednisolone	NN	O
sodium	NN	O
(	(	O
prednisolone	JJ	O
sodium	NN	O
phosphate	NN	O
oral	JJ	O
solution	NN	O
)	)	O
phosphate	NN	O
,	,	O
USP	NNP	O
,	,	O
oral	JJ	O
solution	NN	O
may	MD	O
vary	VB	O
from	IN	O
5	CD	B-DOS
mL	NNS	B-UNIT
to	TO	O
60	CD	B-DOS
mL	NN	B-UNIT
(	(	O
5	CD	B-DOS
to	TO	O
60	CD	B-DOS
mg	NN	B-UNIT
prednisolone	NN	O
base	NN	O
)	)	O
per	IN	B-FREQ
day	NN	O-FREQ
depending	VBG	O
on	IN	O
the	DT	O
specific	JJ	O
disease	NN	O
entity	NN	O
being	VBG	O
treated	VBN	O
.	.	O

In	IN	O
patients	NNS	B-WHO
who	WP	I-WHO
tolerate	VBP	I-WHO
the	DT	I-WHO
full	JJ	I-WHO
intravenous	JJ	I-WHO
dose	NN	O-WHO
(	(	O
15	CD	B-DOS
mg	NN	B-UNIT
)	)	O
,	,	O
initiate	JJ	O
Lopressor	NNP	O
tablets	NNS	O
,	,	O
50	CD	B-DOS
mg	NN	B-UNIT
every	DT	B-FREQ
6	CD	I-FREQ
hours	NNS	O-FREQ
,	,	O
15	CD	O
minutes	NNS	O
after	IN	O
the	DT	O
last	JJ	O
intravenous	JJ	O
dose	NN	O
and	CC	O
continue	VB	O
for	IN	O
48	CD	O
hours	NNS	O
.	.	O

Apply	VB	O
a	DT	O
thin	JJ	O
film	NN	O
of	IN	O
Clindamycin	NNP	O
Phosphate	NNP	O
Topical	NNP	O
Solution	NNP	O
twice	RB	B-FREQ
daily	RB	O-FREQ
to	TO	O
affected	JJ	O
area	NN	O
.	.	O

Adults	NNS	B-WHO
:	:	O
The	DT	O
usual	JJ	O
dosage	NN	O
for	IN	O
persons	NNS	B-WHO
13	CD	I-WHO
years	NNS	I-WHO
of	IN	I-WHO
age	NN	I-WHO
and	CC	I-WHO
over	NN	O-WHO
is	VBZ	O
1	CD	B-DOS
ml	NN	B-UNIT
Buprenex	NNP	O
(	(	O
buprenorphine	NN	O
)	)	O
(	(	O
0.3	CD	B-DOS
mg	RB	B-UNIT
buprenorphine	NN	O
)	)	O
given	VBN	O
by	IN	O
deep	JJ	O
intramuscular	NN	O
or	CC	O
slow	VB	O
(	(	O
over	IN	O
at	IN	O
least	JJS	O
2	CD	O
minutes	NNS	O
)	)	O
intravenous	JJ	O
injection	NN	O
at	IN	O
up	IN	O
to	TO	O
6	CD	O
-	:	O
hour	NN	O
intervals	NNS	O
,	,	O
as	IN	O
needed	VBN	O
.	.	O

The	DT	O
initial	JJ	O
dosage	NN	O
of	IN	O
DELTASONE	NNP	O
Tablets	NNP	O
may	MD	O
vary	VB	O
from	IN	O
5	CD	B-DOS
mg	NNS	B-UNIT
to	TO	O
60	CD	B-DOS
mg	NN	B-UNIT
of	IN	O
prednisone	NN	O
per	IN	B-FREQ
day	NN	O-FREQ
depending	VBG	O
on	IN	O
the	DT	O
specific	JJ	O
disease	NN	O
entity	NN	O
being	VBG	O
treated	VBN	O
.	.	O

Apply	NNP	O
Tolak	NNP	O
Cream	NNP	O
once	RB	B-FREQ
daily	RB	O-FREQ
in	IN	O
an	DT	O
amount	NN	O
sufficient	NN	O
to	TO	O
cover	VB	O
the	DT	O
lesions	NNS	O
of	IN	O
the	DT	O
face	NN	O
,	,	O
ears	NNS	O
,	,	O
and	CC	O
/	NNP	O
or	CC	O
scalp	VBN	O
with	IN	O
a	DT	O
thin	JJ	O
film	NN	O
,	,	O
using	VBG	O
the	DT	O
fingertips	NNS	O
to	TO	O
gently	RB	O
massage	VB	O
the	DT	O
medication	NN	O
uniformly	RB	O
into	IN	O
the	DT	O
skin	NN	O
.	.	O

The	DT	O
recommended	JJ	O
dosage	NN	O
of	IN	O
SOLODYN	NNP	O
is	VBZ	O
approximately	RB	O
1	CD	B-DOS
mg	NNS	B-UNIT
/	JJ	O
kg	NNS	O
once	RB	B-FREQ
daily	RB	O-FREQ
for	IN	O
12	CD	B-DUR
weeks	NNS	O-DUR
.	.	O

A	DT	O
dosage	NN	O
of	IN	O
0.024	CD	B-DOS
to	TO	O
0.034	CD	B-DOS
mg	NNS	B-UNIT
/	JJ	O
kg	JJ	O
/	NNP	B-FREQ
day	NN	O-FREQ
,	,	O
6	CD	B-FREQ
to	TO	O
7	CD	B-FREQ
times	NNS	I-FREQ
a	DT	I-FREQ
week	NN	O-FREQ
,	,	O
is	VBZ	O
recommended	VBN	O
.	.	O

The	DT	O
dosage	NN	O
range	NN	O
is	VBZ	O
0.2	CD	B-DOS
mg	NN	B-UNIT
to	TO	O
0.8	CD	B-DOS
mg	NNS	B-UNIT
.	.	O

The	DT	O
recommended	VBN	O
dose	NN	O
of	IN	O
ELMIRON®	NNP	O
is	VBZ	O
300	CD	B-DOS
mg	JJ	B-UNIT
/	NNP	B-FREQ
day	NN	O-FREQ
taken	VBN	O
as	IN	O
one	CD	B-DOS
100	CD	O-DOS
mg	NN	B-UNIT
capsule	NN	O-UNIT
orally	RB	O
three	CD	B-FREQ
times	NNS	I-FREQ
daily	RB	O-FREQ
.	.	O

The	DT	O
recommended	JJ	O
dosage	NN	O
of	IN	O
ZYFLO	NNP	O
CR	NNP	O
for	IN	O
the	DT	O
treatment	NN	O
of	IN	O
patients	NNS	B-WHO
with	IN	I-WHO
asthma	NN	O-WHO
is	VBZ	O
two	CD	B-DOS
600	CD	O-DOS
mg	NN	B-UNIT
extended	VBN	O
-	:	O
release	NN	O
tablets	NNS	O
twice	RB	B-FREQ
daily	RB	O-FREQ
,	,	O
within	IN	O
one	CD	O
hour	NN	O
after	IN	O
morning	NN	O
and	CC	O
evening	NN	O
meals	NNS	O
,	,	O
for	IN	O
a	DT	O
total	JJ	O
daily	JJ	B-FREQ
dose	NN	O
of	IN	O
2400	CD	B-DOS
mg.	JJ	B-UNIT
Tablets	NNS	O
should	MD	O
not	RB	O
be	VB	O
chewed	VBN	O
,	,	O
cut	VBD	O
or	CC	O
crushed	VBN	O
.	.	O

The	DT	O
maximum	NN	O
recommended	VBD	O
dose	NN	O
is	VBZ	O
four	CD	B-DOS
tablets	NNS	B-UNIT
(	(	O
one	CD	B-DOS
in	IN	O
the	DT	O
morning	NN	O
,	,	O
one	CD	B-DOS
in	IN	O
the	DT	O
mid	NN	O
-	:	O
afternoon	NN	O
and	CC	O
two	CD	B-DOS
at	IN	O
bedtime	NN	O
)	)	O
daily	RB	B-FREQ
.	.	O

The	DT	O
range	NN	O
of	IN	O
initial	JJ	O
doses	NNS	O
is	VBZ	O
0.11	CD	B-DOS
to	TO	O
1.6	CD	B-DOS
mg	NNS	B-UNIT
/	JJ	O
kg	JJ	O
/	NNP	B-FREQ
day	NN	O-FREQ
in	IN	O
3	CD	B-DOS
or	CC	O
4	CD	B-DOS
divided	VBN	B-UNIT
doses	NNS	O-UNIT
(	(	O
3.2	CD	B-DOS
to	TO	O
48	CD	B-DOS
mg	NNS	B-UNIT
/	JJ	O
m²bsa	JJ	O
/	NNP	B-FREQ
day	NN	O-FREQ
)	)	O
.	.	O

The	DT	O
usual	JJ	O
dose	NN	O
is	VBZ	O
2	CD	B-DOS
mg	NN	B-UNIT
(	(	O
1	CD	B-DOS
/	RB	O
2	CD	B-DOS
/	JJ	O
18	CD	B-DOS
tablet	NN	B-UNIT
)	)	O
two	CD	B-FREQ
or	CC	O
three	CD	B-FREQ
times	NNS	I-FREQ
a	DT	I-FREQ
day	NN	O-FREQ
,	,	O
adjusted	VBN	O
as	IN	O
necessary	JJ	O
to	TO	O
the	DT	O
size	NN	O
and	CC	O
response	NN	O
of	IN	O
the	DT	O
patient	NN	O
.	.	O

The	DT	O
recommended	VBN	O
adult	NN	B-WHO
dose	NN	O
for	IN	O
most	JJS	O
patients	NNS	O
is	VBZ	O
one	CD	B-DOS
(	(	O
1	CD	B-DOS
)	)	O
AMRIX	$	O
15	CD	B-DOS
mg	NN	B-UNIT
capsule	NN	O-UNIT
taken	VBN	O
once	RB	B-FREQ
daily	JJ	O-FREQ
.	.	O

The	DT	O
usual	JJ	O
dose	NN	O
of	IN	O
MAXZIDE	NNP	O
-	:	O
25	CD	B-DOS
MG	NNP	B-UNIT
is	VBZ	O
one	CD	B-DOS
or	CC	O
two	CD	B-DOS
tablets	NNS	B-UNIT
daily	RB	B-FREQ
,	,	O
given	VBN	O
as	IN	O
a	DT	O
single	JJ	B-DOS
dose	NN	B-UNIT
,	,	O
with	IN	O
appropriate	JJ	O
monitoring	NN	O
of	IN	O
serum	JJ	O
potassium	NN	O
.	.	O

The	DT	O
recommended	VBN	O
starting	NN	O
adult	NN	B-WHO
dose	NN	O
for	IN	O
all	DT	O
QUESTRAN	NNP	O
powdered	VBN	O
products	NNS	O
(	(	O
QUESTRAN	NNP	O
Powder	NNP	O
and	CC	O
QUESTRAN	NNP	O
Light	NNP	O
)	)	O
is	VBZ	O
one	CD	B-DOS
packet	NN	B-UNIT
or	CC	O
one	CD	B-DOS
level	NN	B-UNIT
scoopful	JJ	O-UNIT
once	RB	B-FREQ
or	CC	O
twice	VB	B-FREQ
a	DT	I-FREQ
day	NN	O-FREQ
.	.	O

The	DT	O
recommended	VBN	O
dose	NN	O
of	IN	O
SAVAYSA	NNP	O
is	VBZ	O
60	CD	B-DOS
mg	NN	B-UNIT
taken	VBN	O
orally	RB	O
once	RB	B-FREQ
daily	JJ	O-FREQ
.	.	O

The	DT	O
recommended	JJ	O
daily	JJ	B-FREQ
dosage	NN	O
is	VBZ	O
180	CD	B-DOS
mg	NN	B-UNIT
to	TO	O
240	CD	B-DOS
mg	NNS	B-UNIT
Inderal	JJ	O
per	IN	B-FREQ
day	NN	O-FREQ
in	IN	O
divided	JJ	O
doses	NNS	O
.	.	O

The	DT	O
usual	JJ	O
total	JJ	O
daily	JJ	B-FREQ
dose	NN	O
of	IN	O
ZOSYN	NNP	O
for	IN	O
adults	NNS	B-WHO
is	VBZ	O
3.375	CD	B-DOS
g	NN	B-UNIT
every	DT	B-FREQ
six	CD	I-FREQ
hours	NNS	O-FREQ
totaling	VBG	O
13.5	CD	B-DOS
g	NN	B-UNIT
(	(	O
12	CD	B-DOS
g	NN	B-UNIT
piperacillin	NN	O
/	VBD	O
1.5	CD	B-DOS
g	NNS	B-UNIT
tazobactam	NN	O
)	)	O
.	.	O

The	DT	O
usual	JJ	O
adult	NN	B-WHO
dosage	NN	O
is	VBZ	O
one	CD	B-DOS
tablet	NN	B-UNIT
every	DT	B-FREQ
6	CD	I-FREQ
hours	NNS	O-FREQ
as	IN	O
needed	VBN	O
for	IN	O
pain	NN	O
.	.	O

The	DT	O
usual	JJ	O
adult	NN	B-WHO
dosage	NN	O
is	VBZ	O
one	CD	B-DOS
tablespoonful	NN	B-UNIT
every	DT	B-FREQ
4	CD	O-FREQ
to	TO	O
6	CD	B-FREQ
hours	NNS	O-FREQ
as	IN	O
needed	VBN	O
for	IN	O
pain	NN	O
.	.	O

The	DT	O
recommended	JJ	O
initial	JJ	O
dose	NN	O
for	IN	O
weekly	JJ	O
intravenous	JJ	O
administration	NN	O
is	VBZ	O
1000	CD	B-DOS
mg	NN	B-UNIT
/	NNP	O
m²	NN	O
of	IN	O
body	NN	O
surface	JJ	O
area	NN	O
at	IN	O
weekly	JJ	O
intervals	NNS	O
for	IN	O
the	DT	O
first	JJ	O
two	CD	O
courses	NNS	O
(	(	O
weeks	NNS	O
)	)	O
.	.	O

The	DT	O
recommended	VBN	O
prophylactic	JJ	O
dose	NN	O
of	IN	O
RYANODEX	NNP	O
is	VBZ	O
2.5	CD	B-DOS
mg	NN	B-UNIT
/	NNP	O
kg	NN	O
administered	VBD	O
intravenously	RB	O
over	IN	O
a	DT	O
period	NN	O
of	IN	O
at	IN	O
least	JJS	O
1	CD	O
minute	NN	O
,	,	O
starting	VBG	O
approximately	RB	O
75	CD	O
minutes	NNS	O
prior	RB	O
to	TO	O
surgery	NN	O
.	.	O

Active	JJ	O
Duodenal	NNP	O
Ulcer	NNP	O
—	VBZ	O
The	DT	O
recommended	JJ	O
oral	JJ	O
dosage	NN	O
for	IN	O
adults	NNS	B-WHO
is	VBZ	O
300	CD	B-DOS
mg	NN	B-UNIT
once	RB	B-FREQ
daily	RB	O-FREQ
at	IN	O
bedtime	NN	O
.	.	O

The	DT	O
recommended	JJ	O
initial	JJ	O
dose	NN	O
of	IN	O
Nascobal	NNP	O
(	(	O
cyanocobalamin	NN	O
)	)	O
Nasal	NNP	O
Spray	NNP	O
is	VBZ	O
one	CD	B-DOS
spray	NN	B-UNIT
(	(	O
500	CD	B-DOS
mcg	NN	B-UNIT
)	)	O
administered	VBD	O
in	IN	O
ONE	CD	O
nostril	NN	O
once	RB	B-FREQ
weekly	JJ	O-FREQ
.	.	O

The	DT	O
usual	JJ	O
adult	NN	B-WHO
dosage	NN	O
of	IN	O
Norpace	NNP	O
(	(	O
disopyramide	JJ	O
phosphate	NN	O
)	)	O
or	CC	O
Norpace	NNP	O
(	(	O
